<card qty="1" id="471e5531-48c9-4b6c-8417-7158b81f4287">Black Cat</card>	471e5531-48c9-4b6c-8417-7158b81f4287	Black Cat (Felicia Hardy)		Hero	2	Ally	⚡						HERO FOR HIRE.
<card qty="2" id="942a87e3-0ab3-4544-85ff-473cfdf622ba">Backflip</card>	942a87e3-0ab3-4544-85ff-473cfdf622ba	Backflip		Hero	0	Event	👊🏾						DEFENSE. SKILL.
<card qty="2" id="816c6c4a-0745-4610-81f5-29dc97865873">Enhanced Spider-Sense</card>	816c6c4a-0745-4610-81f5-29dc97865873	Enhanced Spider-Sense		Hero	1	Event	🧪						SUPERPOWER.
<card qty="3" id="933069ad-ebd7-4813-a058-4729d1db1ca7">Swinging Web Kick</card>	933069ad-ebd7-4813-a058-4729d1db1ca7	Swinging Web Kick		Hero	3	Event	🧪						AERIAL. ATTACK. SUPERPOWER.
<card qty="1" id="880a92cd-9a2b-4ed6-b283-6f7d98ca6fc7">Aunt May</card>	880a92cd-9a2b-4ed6-b283-6f7d98ca6fc7	Aunt May		Hero	1	Support	⚡						PERSONA.
<card qty="2" id="feead700-3e37-4ecb-9f14-15a17a6f0d70">Spider-Tracer</card>	feead700-3e37-4ecb-9f14-15a17a6f0d70	Spider-Tracer		Hero	1	Upgrade	⚡						ITEM. TECH.
<card qty="2" id="ab2d0f0d-5df7-4269-876d-99fe1f1d25d4">Web-Shooter</card>	ab2d0f0d-5df7-4269-876d-99fe1f1d25d4	Web-Shooter		Hero	1	Upgrade	👊🏾						ITEM. TECH.
<card qty="2" id="6bd78cc3-bc7f-4382-b063-5d69a70a0cdc">Webbed Up</card>	6bd78cc3-bc7f-4382-b063-5d69a70a0cdc	Webbed Up		Hero	4	Upgrade	👊🏾						CONDITION.
<card qty="1" id="66c3024c-28aa-4803-b772-b21c5397fa64">Spider-Woman</card>	66c3024c-28aa-4803-b772-b21c5397fa64	Spider-Woman (Jessica Drew)		Hero	3	Ally	✨						AVENGER. SPY.
<card qty="3" id="dd9fbd85-7a49-4bb5-bcb2-7ef92333ce33">Crisis Interdiction</card>	dd9fbd85-7a49-4bb5-bcb2-7ef92333ce33	Crisis Interdiction		Hero	2	Event	⚡						THWART.
<card qty="3" id="9843b01c-f11d-4a3f-9bc0-f20a9bbc48cd">Photonic Blast</card>	9843b01c-f11d-4a3f-9bc0-f20a9bbc48cd	Photonic Blast		Hero	3	Event	👊🏾						ATTACK. SUPERPOWER.
<card qty="2" id="5fd7d61f-d44e-43cc-b5a2-982d0e68c3aa">Energy Absorption</card>	5fd7d61f-d44e-43cc-b5a2-982d0e68c3aa	Energy Absorption		Hero	-	Resource	⚡⚡⚡					
<card qty="1" id="fa6f18d7-8d43-4a69-9eaf-a9b5b6577fce">Alpha Flight Station</card>	fa6f18d7-8d43-4a69-9eaf-a9b5b6577fce	Alpha Flight Station		Hero	1	Support	🧪						LOCATION. S.H.I.E.L.D.
<card qty="1" id="4a0711af-292a-4fb5-8e1c-23c726465354">Captain Marvel's Helmet</card>	4a0711af-292a-4fb5-8e1c-23c726465354	Captain Marvel's Helmet		Hero	2	Upgrade	👊🏾						ARMOR. TECH.
<card qty="2" id="5b294403-a4c7-4786-867e-cc8bced674f6">Cosmic Flight</card>	5b294403-a4c7-4786-867e-cc8bced674f6	Cosmic Flight		Hero	2	Upgrade	⚡						SUPERPOWER.
<card qty="2" id="88a66ea4-d071-463e-8c43-24f53350ea4c">Energy Channel</card>	88a66ea4-d071-463e-8c43-24f53350ea4c	Energy Channel		Hero	0	Upgrade	🧪						SUPERPOWER.
<card qty="1" id="c7bff565-c40b-4ed7-a46f-a8c28ce6c589">Hellcat</card>	c7bff565-c40b-4ed7-a46f-a8c28ce6c589	Hellcat (Patsy Walker)		Hero	3	Ally	✨						AVENGER.
<card qty="1" id="c7be5de7-441e-4077-a21a-211b8552bcb2">Gamma Slam</card>	c7be5de7-441e-4077-a21a-211b8552bcb2	Gamma Slam		Hero	4	Event	🧪						ATTACK. SUPERPOWER.
<card qty="2" id="2546232b-5f39-43d5-8427-69bd1fbb9da8">Ground Stomp</card>	2546232b-5f39-43d5-8427-69bd1fbb9da8	Ground Stomp		Hero	2	Event	🧪						SUPERPOWER.
<card qty="2" id="2d07f30d-9abe-49a3-8e8e-09a7fa925a41">Legal Practice</card>	2d07f30d-9abe-49a3-8e8e-09a7fa925a41	Legal Practice		Hero	0	Event	👊🏾						SKILL. THWART.
<card qty="3" id="14b62a1f-56a2-4115-9717-9c7ca0c706ac">One-Two Punch</card>	14b62a1f-56a2-4115-9717-9c7ca0c706ac	One-Two Punch		Hero	1	Event	👊🏾						SKILL.
<card qty="1" id="4d711d6f-e5f3-4e22-b1d4-e3f8e2f82b88">Split Personality</card>	4d711d6f-e5f3-4e22-b1d4-e3f8e2f82b88	Split Personality		Hero	3	Event	⚡			
<card qty="1" id="316e8579-6ef0-476a-b449-eda0d05ecdd2">Superhuman Law Division</card>	316e8579-6ef0-476a-b449-eda0d05ecdd2	Superhuman Law Division		Hero	1	Support	👊🏾						LOCATION.
<card qty="2" id="b37aeafa-227b-4edf-8b00-7326ae1b45db">Focused Rage</card>	b37aeafa-227b-4edf-8b00-7326ae1b45db	Focused Rage		Hero	3	Upgrade	⚡						SKILL.
<card qty="2" id="562fbca4-2d38-4b65-96ba-4e933b0cea2f">Superhuman Strength</card>	562fbca4-2d38-4b65-96ba-4e933b0cea2f	Superhuman Strength		Hero	2	Upgrade	🧪						SUPERPOWER.
<card qty="1" id="091b226f-5285-40f1-9aa0-a4b7a9449a7c">War Machine</card>	091b226f-5285-40f1-9aa0-a4b7a9449a7c	War Machine (James Rhodes)		Hero	4	Ally	✨						S.H.I.E.L.D. SOLDIER.
<card qty="3" id="08234002-9dd8-4a63-b012-7a9647b49b8a">Repulsor Blast</card>	08234002-9dd8-4a63-b012-7a9647b49b8a	Repulsor Blast		Hero	1	Event	👊🏾						ATTACK. SUPERPOWER.
<card qty="2" id="98a1d5d7-e576-4da3-8d13-82fbb2042bfc">Supersonic Punch</card>	98a1d5d7-e576-4da3-8d13-82fbb2042bfc	Supersonic Punch		Hero	2	Event	⚡						ATTACK.
<card qty="1" id="e7e08f4c-7505-46fa-be88-9e9e71c2470a">Pepper Potts</card>	e7e08f4c-7505-46fa-be88-9e9e71c2470a	Pepper Potts		Hero	3	Support	👊🏾						PERSONA.
<card qty="1" id="a880a5d8-3030-4b78-b924-31a6911730cc">Stark Tower</card>	a880a5d8-3030-4b78-b924-31a6911730cc	Stark Tower		Hero	2	Support	🧪						LOCATION.
<card qty="1" id="2b05d67a-9741-4636-a7d7-1b8e130ba380">Arc Reactor</card>	2b05d67a-9741-4636-a7d7-1b8e130ba380	Arc Reactor		Hero	2	Upgrade	⚡						ITEM. TECH.
